Section,Display Element,Apex Property,Salesforce Object,Field API Name,Transformation / Notes
Header,Account Name (breadcrumb),accountName,Account,Name,Direct
Header,Account ID,accountId,Account,Id,Direct
Header,MRR Badge,mrr,Opportunity,"Amount (primary), MRR__c (fallback)","Amount ?? MRR__c ?? 0"
Header,Close %,closeProbability,Opportunity,Deal_Stage_Probability__c,Direct
Header,Opportunity Name,opportunityName,Opportunity,Name,Direct
Account Details,Employee Count,employeeCount,Account,Employee_Count__c,"Integer.valueOf() or 0"
Account Details,Location Count,locationCount,Account,Active_Location_Count__c,"Integer.valueOf() or 0"
Account Details,Plan / Tier,plan,Account,Highest_Current_Tier__c,Direct
Account Details,On Tier Duration,onTierMonths,Account,Date_of_Previous_Tier_Change__c,"monthsBetween(Date.today()) + 'mo' suffix"
Payroll Status,Type (Inception/Switcher),type,Opportunity,Inception_or_Switcher__c,Direct
Payroll Status,Next Step,nextStep,Opportunity,NextStep,Direct
Payroll Status,Check Status,checkStatus,Account,Payroll_Status__c,Direct
Quota Progress,Target,target,N/A,N/A,"Hardcoded $5000 for demo"
Quota Progress,This Opp Amount,thisOppMrr,Opportunity,Amount,"Amount ?? 0"
Quota Progress,Closed Won This Month,closedWon,Opportunity (aggregate),"SUM(Amount) WHERE StageName='Closed Won' AND CloseDate=THIS_MONTH","Aggregate query filtered by OwnerId"
Quota Progress,Percentage,percentage,N/A (calculated),N/A,"(closedWon / target) * 100, rounded to 0 decimals"
Sales Engagement,Close Potential %,closePotential,Opportunity,Deal_Stage_Probability__c,Direct
Sales Engagement,Days in Stage,daysInStage,Opportunity,"LastStageChange__c (primary), Days_Since_Creation__c (fallback)","daysBetween(Date.today())"
Sales Engagement,Stage Name,stageName,Opportunity,StageName,Direct
Sales Engagement,Last Contact Type,lastContactType,Task or Event,"TaskSubtype or 'Event'","From most recent sidebar activity"
Sales Engagement,Last Contact Label,lastContactLabel,Task or Event,Subject,"First 20 chars of subject, or 'Activity'"
Sales Engagement,Last Contact Age,lastContactAge,Task or Event,ActivityDate,"Days ago: 'Today', '1d ago', 'Nd ago'"
Sales Engagement,Touch Frequency (30d),touchFrequency,Task + Event,ActivityDate,"Count of activities in last 30 days"
Sales Engagement,AI Insight,aiInsight,Account_Scoring__c,"Payroll_Top_Drivers__c + Tier_Upgrade_Top_Drivers__c","Space-joined driver strings from Insights"
Insights Panel,Driver Text Lines,drivers[],Account_Scoring__c,"Payroll_Top_Drivers__c, Tier_Upgrade_Top_Drivers__c","Split on newlines, trim blanks, combine"
Insights Panel,Insight Count,insightCount,N/A (calculated),N/A,"drivers.size()"
Insights Panel,Tag: High Intent,tags[0].active,Opportunity,Deal_Stage_Probability__c,"Boolean: probability > 70%"
Insights Panel,Tag: Decision Maker Engaged,tags[1].active,Opportunity,Decision_Maker_Identified__c,"Boolean field direct"
